,IP,Longitud,Latitud,País,Región,Ciudad,Counts
0,66.249.76.216,-122.0,37.0,US,California,Mountain View,46382
1,80.28.221.123,-3.0,40.0,ES,Madrid,Madrid,14541
2,127.0.0.1,,,,,,13868
3,217.125.71.222,-3.7035825,40.4167047,ES,Madrid,Madrid,4679
4,66.249.75.148,-122.0832101,37.3893889,US,California,Mountain View,3558
5,162.243.192.191,-74.0060152,40.7127281,US,New York,New York,2927
6,62.117.197.230,-1.1305431,37.9923795,ES,Murcia,Murcia,2527
7,89.128.176.162,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,1072
8,198.143.133.154,-88.1829997,42.0215779,US,Illinois,Chicago (Loop),1045
9,176.31.255.177,3.1741734,50.6915893,FR,Hauts-de-France,Roubaix,1044
