IP,Longitud,Latitud,País,Región,Ciudad,Counts
66.249.76.216,-122.0,37.0,US,California,Mountain View,46382
80.28.221.123,-3.0,40.0,ES,Madrid,Madrid,14541
127.0.0.1,,,,,,13868
217.125.71.222,-3.7035825,40.4167047,ES,Madrid,Madrid,4679
66.249.75.148,-122.0832101,37.3893889,US,California,Mountain View,3558
162.243.192.191,-74.0060152,40.7127281,US,New York,New York,2927
62.117.197.230,-1.1305431,37.9923795,ES,Murcia,Murcia,2527
89.128.176.162,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,1072
198.143.133.154,-88.1829997,42.0215779,US,Illinois,Chicago (Loop),1045
176.31.255.177,3.1741734,50.6915893,FR,Hauts-de-France,Roubaix,1044
80.58.250.94,-3.7035825,40.4167047,ES,Madrid,Madrid,1015
81.39.110.171,-3.7035825,40.4167047,ES,Madrid,Madrid,948
80.35.176.249,-3.7035825,40.4167047,ES,Madrid,Madrid,901
217.12.16.130,-5.9953403,37.3886303,ES,Andalusia,Seville,897
195.57.124.71,-4.4216366,36.7213028,ES,Andalusia,Málaga,876
74.86.158.106,-87.6244212,41.8755616,US,Illinois,Chicago,836
84.122.139.8,-5.9953403,37.3886303,ES,Andalusia,Seville,834
74.86.158.107,-87.6244212,41.8755616,US,Illinois,Chicago,810
66.249.93.141,-122.0832101,37.3893889,US,California,Mountain View,769
80.37.230.56,2.1774322,41.3828939,ES,Catalonia,Barcelona,731
85.48.148.136,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,695
188.84.96.240,-8.7247205,42.2376602,ES,Galicia,Vigo,685
66.249.64.98,-122.0832101,37.3893889,US,California,Mountain View,683
66.249.64.13,-122.0832101,37.3893889,US,California,Mountain View,661
66.249.64.103,-122.0832101,37.3893889,US,California,Mountain View,629
80.39.210.69,-3.7035825,40.4167047,ES,Madrid,Madrid,626
79.145.213.52,-3.7035825,40.4167047,ES,Madrid,Madrid,567
144.76.95.232,12.6643842,50.5353917,DE,Saxony,Falkenstein,552
37.14.223.169,2.1774322,41.3828939,ES,Catalonia,Barcelona,528
81.35.188.72,2.1774322,41.3828939,ES,Catalonia,Barcelona,524
88.14.201.73,1.3542327,38.9914471,ES,Balearic Islands,Sant Antoni de Portmany,521
185.27.136.38,-5.079589,37.5406007,ES,Andalusia,Écija,516
84.232.105.70,-1.3971219,38.2058512,ES,Murcia,Abarán,501
5.10.83.78,-74.6038607920825,40.596061000000006,US,New Jersey,Bridgewater Township,490
5.10.83.43,17.899268,59.4137901,SE,Stockholm,Stockholm (Kista),489
89.29.152.238,-1.0978627,38.8682065,ES,Castille-La Mancha,Almansa,482
5.10.83.91,-74.6038607920825,40.596061000000006,US,New Jersey,Bridgewater Township,474
5.10.83.40,17.899268,59.4137901,SE,Stockholm,Stockholm (Kista),460
5.10.83.44,17.899268,59.4137901,SE,Stockholm,Stockholm (Kista),456
5.10.83.68,-74.6038607920825,40.596061000000006,US,New Jersey,Bridgewater Township,452
5.10.83.86,-74.6038607920825,40.596061000000006,US,New Jersey,Bridgewater Township,450
5.10.83.74,-74.6038607920825,40.596061000000006,US,New Jersey,Bridgewater Township,447
5.10.83.95,-74.6038607920825,40.596061000000006,US,New Jersey,Bridgewater Township,440
92.56.114.50,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,436
5.10.83.11,-64.6232227,18.4257128,VG,Tortola,Road Town,426
95.232.139.88,9.445355,45.357971,IT,Lombardy,Galgagnano,422
85.62.233.162,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,418
5.10.83.41,17.899268,59.4137901,SE,Stockholm,Stockholm (Kista),416
2.197.29.235,12.4829321,41.8933203,IT,Lazio,Rome,402
83.60.40.202,-3.7035825,40.4167047,ES,Madrid,Madrid,397
188.87.40.180,-8.7247205,42.2376602,ES,Galicia,Vigo,388
82.130.160.93,-1.9838889,43.3224219,ES,Basque Country,Donostia / San Sebastian,385
174.129.237.157,-77.46964646557657,39.030019100000004,US,Virginia,Ashburn,384
88.23.18.254,-3.7035825,40.4167047,ES,Madrid,Madrid,373
83.60.86.201,-3.7035825,40.4167047,ES,Madrid,Madrid,370
95.39.143.223,-3.7035825,40.4167047,ES,Madrid,Madrid,370
95.16.149.164,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,357
95.61.184.101,-3.7035825,40.4167047,ES,Madrid,Madrid,353
79.108.219.65,-3.7035825,40.4167047,ES,Madrid,Madrid,353
37.14.215.143,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,349
95.18.84.69,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,349
79.150.228.92,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,347
77.209.92.87,-3.7035825,40.4167047,ES,Madrid,Madrid,341
66.249.85.216,-73.6103642,45.4972159,CA,Quebec,Montreal,337
46.24.158.105,-1.1305431,37.9923795,ES,Murcia,Murcia,335
208.43.225.84,-77.0365581,38.8949924,US,District of Columbia,Washington D.C.,335
62.175.139.150,2.1774322,41.3828939,ES,Catalonia,Barcelona,333
193.145.201.52,-3.7035825,40.4167047,ES,Madrid,Madrid,330
79.157.119.174,-3.7035825,40.4167047,ES,Madrid,Madrid,323
95.22.249.231,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,320
95.22.208.3,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,318
77.228.79.234,-3.7035825,40.4167047,ES,Madrid,Madrid,314
195.77.16.215,-3.7035825,40.4167047,ES,Madrid,Madrid,314
208.43.225.85,-96.7968559,32.7762719,US,Texas,Dallas,313
83.43.71.59,-3.7035825,40.4167047,ES,Madrid,Madrid,308
85.55.167.1,-3.814834,40.4346528,ES,Madrid,Pozuelo de Alarcón,306
